absence_id,employee_id,base_code,role,absence_type,start_date,end_date,days_absent,approved
ABS000001,EMP00896,LIM,Tripulante Cabina Senior,Vacaciones,2024-06-15,2024-06-24,9,1
ABS000002,EMP01107,lima,Supervisor Operaciones,Licencia Medica,2023-01-12,2023-01-24,12,0
ABS000003,EMP00836,SCL,Tripulante Cabina Senior,Vacaciones,2022-06-25,2022-07-16,21,1
ABS000004,EMP00301,GRU,Tripulante Cabina,Vacaciones,2023-06-28,2023-07-12,14,1
ABS000005,EMP00403,GRU,Agente Check-in,Permiso Sin Goce,2023-03-24,2023-03-25,1,1
ABS000006,EMP01221,GRU,Ground Staff,Licencia Medica,2022-03-22,2022-03-26,4,0
ABS000007,EMP01831,EZE,Tripulante Cabina,Permiso Sin Goce,2022-01-13,2022-01-16,3,1
ABS000008,EMP00481,LIM,Ground Staff,Licencia Medica,2022-07-24,2022-08-11,18,1
ABS000009,EMP01178,BOG,Supervisor Operaciones,Vacaciones,2024-05-01,2024-05-14,13,1
ABS000010,EMP00672,JFK,Tripulante Cabina,Vacaciones,2022-10-12,2022-10-31,19,
ABS000011,EMP00905,EZE,Ground Staff,Licencia Medica,2024-07-12,2024-07-18,6,1
ABS000012,EMP00044,GRU,Ground Staff,Licencia Medica,2022-11-07,2022-11-25,18,1
ABS000013,EMP01230,SCL,Tripulante Cabina,Permiso Sin Goce,2023-05-24,2023-05-31,7,1
ABS000014,EMP00250,SCL,Tripulante Cabina Senior,Permiso Sin Goce,2022-07-29,2022-07-31,2,1
ABS000015,EMP00293,SCL,Tripulante Cabina Senior,Ausencia Injustificada,2024-11-01,2024-11-03,2,1
ABS000016,EMP00234,LIM,Ground Staff,Vacaciones,2024-07-06,2024-07-15,9,1
ABS000017,EMP00554,SCL,Tripulante Cabina Senior,Permiso Sin Goce,2023-09-07,2023-09-17,10,1
ABS000018,EMP01600,BOG,Seguridad,Capacitacion,2024-12-28,2025-01-01,4,1
ABS000019,EMP00051,GRU,Piloto Copiloto,Licencia Medica,2024-12-04,2025-01-01,28,1
ABS000020,EMP00089,SCL,Supervisor Operaciones,Vacaciones,2024-01-29,2024-02-17,19,1
ABS000021,EMP01624,EZE,Tripulante Cabina,Licencia Medica,2022-07-14,2022-07-15,1,1
ABS000022,EMP00133,SCL,Agente Check-in,Capacitacion,2024-02-29,2024-03-03,3,1
ABS000023,EMP01752,BOG,Ground Staff,Capacitacion,2023-11-13,2023-11-15,2,1
ABS000024,EMP01692,BOG,Tripulante Cabina Senior,Vacaciones,2022-01-23,2022-01-30,7,0
ABS000025,EMP01958,GRU,Tripulante Cabina,Ausencia Injustificada,2023-10-29,2023-11-07,9,1
ABS000026,EMP01965,SCL,Seguridad,Licencia Medica,2023-05-17,2023-06-12,26,1
ABS000027,EMP01997,MAD,Piloto Copiloto,Licencia Medica,2024-09-01,2024-09-26,25,1
ABS000028,EMP01744,MAD,Agente Check-in,Licencia Medica,2024-09-25,2024-10-02,7,0
ABS000029,EMP00285,LIM,Supervisor Operaciones,Licencia Medica,2024-07-26,2024-08-03,8,1
ABS000030,EMP00798,SCL,Ground Staff,Permiso Sin Goce,2024-01-16,,5,1
ABS000031,EMP01004,SCL,Piloto Copiloto,Vacaciones,2022-05-19,2022-05-31,12,0
