attrition_id,employee_id,base_code,role,category,exit_date,reason,seniority_years,contract_type,was_replaced
ATT000001,EMP00808,SCL,Tecnico Mantencion,Tierra,2024-05-02,Despido,11,Part-time,1
ATT000002,EMP00824,MIA,Supervisor Operaciones,Tierra,2023-09-11,Renuncia Voluntaria,13,Indefinido,0
ATT000003,EMP01745,GRU,Tripulante Cabina,Cabina,2024-03-12,Termino Contrato,14,Indefinido,1
ATT000004,EMP00270,SCL,Agente Check-in,Tierra,2022-01-07,Renuncia Voluntaria,4,Plazo Fijo,1
ATT000005,EMP01103,JFK,Piloto Copiloto,Cockpit,2022-01-23,Jubilacion,11,Indefinido,0
ATT000006,EMP01942,BOG,Ground Staff,Tierra,2024-05-21,Termino Contrato,15,Indefinido,1
ATT000007,EMP01276,SCL,Tripulante Cabina Senior,Cabina,2024-07-01,Renuncia Voluntaria,7,Plazo Fijo,
ATT000008,EMP01096,LIM,Tecnico Mantencion,Tierra,2024-10-10,Despido,11,Indefinido,1
ATT000009,EMP01018,BOG,Ground Staff,Tierra,2024-01-20,Renuncia Voluntaria,6,Plazo Fijo,1
ATT000010,EMP01602,BOG,Agente Check-in,Tierra,2022-01-21,Termino Contrato,13,Indefinido,1
ATT000011,EMP01726,LIM,Agente Check-in,Tierra,2024-01-16,Renuncia Voluntaria,,Plazo Fijo,1
ATT000012,EMP01075,EZE,Tripulante Cabina Senior,Cabina,2024-07-17,Termino Contrato,14,Indefinido,0
ATT000013,EMP00154,GRU,Piloto Copiloto,Cockpit,2024-11-20,Renuncia Voluntaria,13,Part-time,1
ATT000014,EMP00136,MIA,Ground Staff,Tierra,2022-01-28,Termino Contrato,0,Plazo Fijo,1
ATT000015,EMP00230,GRU,Ground Staff,Tierra,2022-07-06,Termino Contrato,12,Indefinido,0
ATT000016,EMP00794,BOG,Ground Staff,Tierra,2024-07-24,Renuncia Voluntaria,1,Indefinido,0
ATT000017,EMP00731,MIA,Tripulante Cabina,Cabina,2024-05-17,Termino Contrato,12,Indefinido,1
ATT000018,EMP00518,SCL,Tripulante Cabina Senior,Cabina,2022-07-15,Renuncia Voluntaria,1,Plazo Fijo,1
ATT000019,EMP00321,GRU,Tripulante Cabina,Cabina,2022-01-06,Termino Contrato,7,Indefinido,1
ATT000020,EMP00709,SCL,Tripulante Cabina,Cabina,2022-02-03,Renuncia Voluntaria,8,Plazo Fijo,1
ATT000021,EMP00693,GRU,Piloto Comandante,Cockpit,2024-04-21,Termino Contrato,12,Plazo Fijo,
ATT000022,EMP01180,LIM,Administrativo,Admin,2024-09-17,Termino Contrato,13,Indefinido,1
ATT000023,EMP00316,BOG,Agente Check-in,Tierra,2023-02-01,Renuncia Voluntaria,6,Part-time,
ATT000024,EMP01946,BOG,Tripulante Cabina,Cabina,2024-01-15,Termino Contrato,10,Indefinido,1
