flight_id,origin,destination,base_code,aircraft_type,flight_date,season,crew_required_cockpit,crew_required_cabin,ground_staff_required,flight_hours
FLT000001,LIM,GRU,LIM,B737,2022-10-12,Baja,2,4,4,8
FLT000002,SCL,GRU,SCL,B737,2023-07-26,Alta_Invierno,2,4,3,3
FLT000003,LIM,GRU,LIM,B737,2022-07-15,Alta_Invierno,2,4,8,8
FLT000004,SCL,GRU,SCL,A350,2024-02-07,Alta_Verano,2,9,8,12
FLT000005,SCL,MAD,SCL,B737,2024-01-24,Alta_Verano,2,6,5,5
FLT000006,LIM,BOG,LIM,A320,2024-04-27,Baja,2,6,3,7
FLT000007,SCL,BOG,SCL,A350,2023-05-09,Baja,2,9,5,6
FLT000008,EZE,GRU,EZE,B737,2022-01-22,Alta_Verano,2,6,6,11
FLT000009,SCL,MIA,SCL,B737,2023-06-04,Alta_Invierno,2,5,6,2
FLT000010,SCL,LIM,SCL,A320,2023-03-04,Baja,2,6,3,5
FLT000011,SCL,BOG,SCL,B787,2024-09-24,Baja,2,8,3,4
FLT000012,BOG,MAD,BOG,A350,2022-03-30,Baja,2,12,7,4
FLT000013,BOG,MIA,BOG,A320,2024-09-01,Baja,2,6,4,5
FLT000014,BOG,MAD,BOG,A350,2023-01-29,Alta_Verano,2,11,6,3
FLT000015,SCL,EZE,SCL,A320,2023-07-13,Alta_Invierno,2,6,3,6
FLT000016,SCL,MAD,SCL,B737,2022-07-09,Alta_Invierno,2,6,8,5
FLT000017,GRU,MIA,GRU,B767,2023-02-12,Alta_Verano,2,6,7,3
FLT000018,BOG,MIA,BOG,B787,2023-12-16,Alta_Verano,2,11,4,
FLT000019,SCL,BOG,SCL,A320,2022-02-15,Alta_Verano,2,4,7,5
FLT000020,LIM,GRU,LIM,B737,2024-12-11,Alta_Verano,2,4,5,14
FLT000021,BOG,MAD,BOG,B737,2024-01-08,Alta_Verano,2,4,4,6
FLT000022,SCL,JFK,SCL,A320,2022-04-23,Baja,2,5,6,4
FLT000023,SCL,MIA,SCL,A350,2022-03-07,Baja,2,9,5,11
FLT000024,LIM,MIA,LIM,B737,2022-07-03,Alta_Invierno,2,6,4,7
FLT000025,LIM,MIA,LIM,A320,2022-01-12,Alta_Verano,2,4,5,2
FLT000026,SCL,EZE,SCL,A350,2022-05-02,Baja,2,10,4,9
FLT000027,BOG,MIA,BOG,A350,2023-01-08,Alta_Verano,2,10,6,14
FLT000028,EZE,GRU,EZE,A320,2022-02-16,Alta_Verano,2,4,3,5
FLT000029,LIM,MIA,LIM,A320,2023-07-25,Alta_Invierno,2,6,4,10
FLT000030,LIM,BOG,LIM,B787,2022-07-02,Alta_Invierno,2,8,7,4
FLT000031,SCL,JFK,SCL,A350,2022-09-02,Baja,2,8,7,12
FLT000032,LIM,MIA,LIM,A320,2024-09-09,Baja,2,5,4,13
FLT000033,SCL,MAD,SCL,B737,2024-01-12,Alta_Verano,2,6,7,4
FLT000034,BOG,MAD,BOG,A350,2022-01-24,Alta_Verano,2,10,8,2
FLT000035,GRU,MAD,GRU,B737,2022-05-08,Baja,2,5,7,13
FLT000036,LIM,MIA,LIM,B737,2022-02-13,Alta_Verano,2,6,5,5
FLT000037,SCL,MIA,SCL,A320,2024-07-11,Alta_Invierno,2,6,4,5
FLT000038,EZE,GRU,EZE,A320,2022-03-22,Baja,2,6,3,
FLT000039,BOG,MIA,BOG,A350,2022-12-07,Alta_Verano,2,10,8,4
FLT000040,SCL,BOG,SCL,B737,2022-01-12,Alta_Verano,2,4,8,4
FLT000041,GRU,MIA,GRU,B737,2022-11-14,Baja,2,4,4,2
FLT000042,LIM,MIA,LIM,B767,2022-01-23,Alta_Verano,2,6,6,10
FLT000043,SCL,EZE,SCL,B737,2023-01-20,Alta_Verano,2,5,5,5
FLT000044,GRU,MIA,GRU,A320,2022-10-08,Baja,2,4,6,3
FLT000045,SCL,LIM,SCL,B737,2022-01-01,Alta_Verano,2,6,8,12
FLT000046,EZE,GRU,EZE,B787,2023-03-18,Baja,2,11,5,14
FLT000047,SCL,GRU,SCL,A320,2022-01-28,Alta_Verano,2,4,7,5
FLT000048,SCL,BOG,SCL,B787,2024-11-29,Baja,2,12,7,3
FLT000049,LIM,GRU,LIM,B737,2024-06-27,Alta_Invierno,2,6,4,5
FLT000050,GRU,MIA,GRU,B787,2024-01-31,Alta_Verano,2,12,7,2
FLT000051,GRU,MIA,GRU,B737,2022-08-20,Alta_Invierno,2,5,7,2
FLT000052,GRU,MAD,GRU,B737,2024-09-30,Baja,2,4,3,4
FLT000053,SCL,MIA,SCL,A320,2023-11-20,Baja,2,4,6,8
FLT000054,LIM,MIA,LIM,A320,2023-08-16,Alta_Invierno,2,5,6,
FLT000055,BOG,MAD,BOG,B787,2023-01-18,Alta_Verano,2,10,8,10
FLT000056,SCL,MIA,SCL,A350,2022-07-02,Alta_Invierno,2,10,4,13
FLT000057,EZE,GRU,EZE,B737,2023-02-21,Alta_Verano,2,4,4,9
FLT000058,SCL,GRU,SCL,B787,2022-07-17,Alta_Invierno,2,11,5,12
FLT000059,LIM,MIA,LIM,A320,2023-03-25,Baja,2,5,7,5
FLT000060,LIM,GRU,LIM,A350,2024-03-04,Baja,2,10,5,4
FLT000061,SCL,MIA,SCL,A320,2024-08-24,Alta_Invierno,2,4,8,3
FLT000062,BOG,MAD,BOG,A320,2023-05-30,Baja,2,5,4,
FLT000063,LIM,MIA,LIM,B767,2023-06-09,Alta_Invierno,2,6,5,13
FLT000064,GRU,MIA,GRU,A350,2022-01-05,Alta_Verano,2,12,6,13
FLT000065,LIM,MIA,LIM,B737,2023-07-08,Alta_Invierno,2,6,6,5
FLT000066,GRU,MAD,GRU,B737,2023-12-26,Alta_Verano,2,5,8,2
FLT000067,SCL,MAD,SCL,B767,2022-06-09,Alta_Invierno,2,7,6,5
FLT000068,GRU,MIA,GRU,B767,2022-04-18,Baja,2,6,4,10
FLT000069,EZE,GRU,EZE,A320,2022-10-02,Baja,2,5,5,14
FLT000070,SCL,BOG,SCL,B767,2023-08-01,Alta_Invierno,2,6,4,14
FLT000071,SCL,MAD,SCL,A350,2022-04-08,Baja,2,9,4,4
FLT000072,SCL,EZE,SCL,A320,2023-01-22,Alta_Verano,2,6,8,4
FLT000073,BOG,MIA,BOG,B737,2022-08-13,Alta_Invierno,2,4,8,12
FLT000074,GRU,MAD,GRU,A320,2024-01-09,Alta_Verano,2,5,3,5
FLT000075,SCL,JFK,SCL,B767,2023-06-21,Alta_Invierno,2,7,8,2
FLT000076,BOG,MIA,BOG,B787,2024-12-24,Alta_Verano,2,9,8,
FLT000077,GRU,MAD,GRU,B737,2023-01-08,Alta_Verano,2,4,3,7
FLT000078,SCL,BOG,SCL,B737,2022-12-17,Alta_Verano,2,5,6,5
FLT000079,SCL,MIA,SCL,B787,2022-01-17,Alta_Verano,2,10,7,10
FLT000080,LIM,BOG,LIM,B737,2023-03-24,Baja,2,4,5,
FLT000081,SCL,GRU,SCL,A350,2023-10-20,Baja,2,12,5,4
FLT000082,LIM,GRU,LIM,A320,2023-12-03,Alta_Verano,2,4,3,2
FLT000083,SCL,MIA,SCL,A320,2024-08-20,Alta_Invierno,2,4,3,5
FLT000084,GRU,MIA,GRU,A320,2023-02-25,Alta_Verano,2,4,4,
FLT000085,SCL,BOG,SCL,B737,2022-07-01,Alta_Invierno,2,5,5,
FLT000086,BOG,MIA,BOG,A320,2022-08-04,Alta_Invierno,2,5,7,4
FLT000087,SCL,MIA,SCL,B737,2022-10-19,Baja,2,4,3,9
FLT000088,LIM,BOG,LIM,B737,2023-07-20,Alta_Invierno,2,4,8,2
FLT000089,SCL,JFK,SCL,A320,2023-10-18,Baja,2,6,6,5
FLT000090,GRU,MAD,GRU,B787,2022-09-29,Baja,2,11,4,3
FLT000091,SCL,BOG,SCL,B787,2023-07-06,Alta_Invierno,2,10,6,4
FLT000092,SCL,BOG,SCL,A320,2022-02-26,Alta_Verano,2,6,7,9
FLT000093,SCL,BOG,SCL,A320,2023-01-18,Alta_Verano,2,6,5,3
FLT000094,LIM,GRU,LIM,B787,2023-07-28,Alta_Invierno,2,12,4,3
FLT000095,BOG,MAD,BOG,B767,2022-02-25,Alta_Verano,2,6,3,5
FLT000096,SCL,GRU,SCL,B737,2023-03-09,Baja,2,6,4,5
FLT000097,BOG,MIA,BOG,B767,2024-02-29,Alta_Verano,2,8,3,3
FLT000098,SCL,LIM,SCL,A320,2024-07-05,Alta_Invierno,2,6,8,13
FLT000099,SCL,BOG,SCL,B737,2024-08-04,Alta_Invierno,2,4,3,5
FLT000100,BOG,MIA,BOG,B737,2022-01-07,Alta_Verano,2,6,6,13
FLT000101,SCL,GRU,SCL,B737,2023-10-19,Baja,2,5,5,10
FLT000102,SCL,LIM,SCL,B767,2024-01-12,Alta_Verano,2,7,6,10
FLT000103,SCL,GRU,SCL,A320,2023-07-27,Alta_Invierno,2,5,8,2
FLT000104,SCL,BOG,SCL,B787,2024-07-07,Alta_Invierno,2,11,4,3
FLT000105,SCL,EZE,SCL,A320,2024-10-03,Baja,2,4,4,2
FLT000106,BOG,MAD,BOG,B767,2023-11-03,Baja,2,7,4,4
FLT000107,BOG,MIA,BOG,B737,2024-02-25,Alta_Verano,2,6,3,13
FLT000108,GRU,MAD,GRU,A350,2024-01-10,Alta_Verano,2,10,4,10
FLT000109,SCL,LIM,SCL,B767,2022-05-05,Baja,2,7,3,9
FLT000110,SCL,BOG,SCL,B767,2022-02-03,Alta_Verano,2,6,4,7
FLT000111,EZE,GRU,EZE,B737,2022-12-03,Alta_Verano,2,5,4,3
FLT000112,BOG,MIA,BOG,A320,2022-02-15,Alta_Verano,2,4,5,5
FLT000113,GRU,MIA,GRU,B737,2023-08-28,Alta_Invierno,2,6,7,13
FLT000114,SCL,GRU,SCL,B767,2023-06-15,Alta_Invierno,2,6,6,14
FLT000115,SCL,MAD,SCL,B737,2024-07-08,Alta_Invierno,2,4,4,10
FLT000116,SCL,MIA,SCL,A320,2024-01-12,Alta_Verano,2,6,3,14
FLT000117,GRU,MAD,GRU,B737,2023-01-31,Alta_Verano,2,6,7,4
FLT000118,LIM,GRU,LIM,B767,2023-05-20,Baja,2,7,6,5
FLT000119,EZE,GRU,EZE,A320,2023-12-25,Alta_Verano,2,5,3,5
FLT000120,SCL,GRU,SCL,A350,2023-01-07,Alta_Verano,2,9,7,13
FLT000121,SCL,GRU,SCL,B787,2023-09-07,Baja,2,11,8,9
FLT000122,GRU,MAD,GRU,A350,2024-11-13,Baja,2,9,5,12
FLT000123,SCL,EZE,SCL,B767,2023-08-14,Alta_Invierno,2,8,6,7
FLT000124,SCL,EZE,SCL,B737,2024-05-16,Baja,2,6,7,10
