req_id,base_code,role,category,min_headcount,optimal_headcount,max_hours_monthly,valid_from,valid_to
REQ0001,SCL,Piloto Comandante,Cockpit,12,14,100,2022-01-01,2027-12-31
REQ0002,SCL,Piloto Copiloto,Cockpit,12,14,100,2022-01-01,2027-12-31
REQ0003,SCL,Tripulante Cabina Senior,Cabina,15,18,120,2022-01-01,2027-12-31
REQ0004,SCL,Tripulante Cabina,Cabina,28,34,120,2022-01-01,2027-12-31
REQ0005,SCL,Ground Staff,Tierra,11,13,190,2022-01-01,2027-12-31
REQ0006,SCL,Agente Check-in,Tierra,19,23,190,2022-01-01,2027-12-31
REQ0007,SCL,Supervisor Operaciones,Tierra,13,16,190,2022-01-01,2027-12-31
REQ0008,SCL,Tecnico Mantencion,Tierra,7,8,190,2022-01-01,2027-12-31
REQ0009,SCL,Administrativo,Admin,16,19,190,2022-01-01,2027-12-31
REQ0010,SCL,Seguridad,Tierra,12,14,190,2022-01-01,2027-12-31
REQ0011,LIM,Piloto Comandante,Cockpit,9,11,100,2022-01-01,2027-12-31
REQ0012,LIM,Piloto Copiloto,Cockpit,12,14,100,2022-01-01,2027-12-31
REQ0013,LIM,Tripulante Cabina Senior,Cabina,16,19,120,2022-01-01,2027-12-31
REQ0014,LIM,Tripulante Cabina,Cabina,18,22,120,2022-01-01,2027-12-31
REQ0015,LIM,Ground Staff,Tierra,13,16,190,2022-01-01,2027-12-31
REQ0016,LIM,Agente Check-in,Tierra,9,11,190,2022-01-01,2027-12-31
REQ0017,LIM,Supervisor Operaciones,Tierra,11,13,190,2022-01-01,2027-12-31
REQ0018,LIM,Tecnico Mantencion,Tierra,9,11,190,2022-01-01,2027-12-31
REQ0019,LIM,Administrativo,Admin,8,10,190,2022-01-01,2027-12-31
REQ0020,LIM,Seguridad,Tierra,18,22,190,2022-01-01,2027-12-31
REQ0021,BOG,Piloto Comandante,Cockpit,10,12,100,2022-01-01,2027-12-31
REQ0022,BOG,Piloto Copiloto,Cockpit,8,10,100,2022-01-01,2027-12-31
REQ0023,BOG,Tripulante Cabina Senior,Cabina,29,35,120,2022-01-01,2027-12-31
REQ0024,BOG,Tripulante Cabina,Cabina,19,23,120,2022-01-01,2027-12-31
REQ0025,BOG,Ground Staff,Tierra,9,11,190,2022-01-01,2027-12-31
REQ0026,BOG,Agente Check-in,Tierra,10,12,190,2022-01-01,2027-12-31
REQ0027,BOG,Supervisor Operaciones,Tierra,17,20,190,2022-01-01,2027-12-31
REQ0028,BOG,Tecnico Mantencion,Tierra,8,10,190,2022-01-01,2027-12-31
REQ0029,BOG,Administrativo,Admin,10,12,190,2022-01-01,2027-12-31
REQ0030,BOG,Seguridad,Tierra,12,14,190,2022-01-01,2027-12-31
REQ0031,GRU,Piloto Comandante,Cockpit,13,16,100,2022-01-01,2027-12-31
REQ0032,GRU,Piloto Copiloto,Cockpit,15,18,100,2022-01-01,2027-12-31
REQ0033,GRU,Tripulante Cabina Senior,Cabina,26,31,120,2022-01-01,2027-12-31
REQ0034,GRU,Tripulante Cabina,Cabina,23,28,120,2022-01-01,2027-12-31
REQ0035,GRU,Ground Staff,Tierra,8,10,190,2022-01-01,2027-12-31
REQ0036,GRU,Agente Check-in,Tierra,10,12,190,2022-01-01,2027-12-31
REQ0037,GRU,Supervisor Operaciones,Tierra,7,8,190,2022-01-01,2027-12-31
REQ0038,GRU,Tecnico Mantencion,Tierra,17,20,190,2022-01-01,2027-12-31
REQ0039,GRU,Administrativo,Admin,14,17,190,2022-01-01,2027-12-31
REQ0040,GRU,Seguridad,Tierra,12,14,190,2022-01-01,2027-12-31
REQ0041,EZE,Piloto Comandante,Cockpit,13,16,100,2022-01-01,2027-12-31
REQ0042,EZE,Piloto Copiloto,Cockpit,10,12,100,2022-01-01,2027-12-31
REQ0043,EZE,Tripulante Cabina Senior,Cabina,20,24,120,2022-01-01,2027-12-31
